,date,coupon_rate_year,rate_from_nominal,payment
0,30.01.2013 ,7.6,3.79,37.9
1,31.07.2013 ,7.6,3.79,37.9
2,29.01.2014 ,7.6,3.79,37.9
3,30.07.2014 ,7.6,3.79,37.9
4,28.01.2015 ,7.6,3.79,37.9
5,29.07.2015 ,7.6,3.79,37.9
6,27.01.2016 ,7.6,3.79,37.9
7,27.07.2016 ,7.6,3.79,37.9
8,25.01.2017 ,7.6,3.79,37.9
9,26.07.2017 ,7.6,3.79,37.9
10,24.01.2018 ,7.6,3.79,37.9
11,25.07.2018 ,7.6,3.79,37.9
12,23.01.2019 ,7.6,3.79,37.9
13,24.07.2019 ,7.6,3.79,37.9
14,22.01.2020 ,7.6,3.79,37.9
15,22.07.2020 ,7.6,3.79,37.9
16,20.01.2021 ,7.6,3.79,37.9
17,21.07.2021 ,7.6,3.79,37.9
18,19.01.2022 ,7.6,3.79,37.9
19,20.07.2022 ,7.6,103.79,1037.9
