,date,coupon_rate_year,rate_from_nominal,payment
0,24.02.2016 ,7.5,2.445,24.45
1,24.08.2016 ,7.5,3.74,37.4
2,22.02.2017 ,7.5,3.74,37.4
3,23.08.2017 ,7.5,3.74,37.4
4,21.02.2018 ,7.5,3.74,37.4
5,22.08.2018 ,7.5,3.74,37.4
6,20.02.2019 ,7.5,3.74,37.4
7,21.08.2019 ,7.5,3.74,37.4
8,19.02.2020 ,7.5,3.74,37.4
9,19.08.2020 ,7.5,3.74,37.4
10,17.02.2021 ,7.5,3.74,37.4
11,18.08.2021 ,7.5,103.74,1037.4
