,date,coupon_rate_year,rate_from_nominal,payment
0,26.10.2011 ,7.6,4.081,40.81
1,25.04.2012 ,7.6,3.79,37.9
2,24.10.2012 ,7.6,3.79,37.9
3,24.04.2013 ,7.6,3.79,37.9
4,23.10.2013 ,7.6,3.79,37.9
5,23.04.2014 ,7.6,3.79,37.9
6,22.10.2014 ,7.6,3.79,37.9
7,22.04.2015 ,7.6,3.79,37.9
8,21.10.2015 ,7.6,3.79,37.9
9,20.04.2016 ,7.6,3.79,37.9
10,19.10.2016 ,7.6,3.79,37.9
11,19.04.2017 ,7.6,3.79,37.9
12,18.10.2017 ,7.6,3.79,37.9
13,18.04.2018 ,7.6,3.79,37.9
14,17.10.2018 ,7.6,3.79,37.9
15,17.04.2019 ,7.6,3.79,37.9
16,16.10.2019 ,7.6,3.79,37.9
17,15.04.2020 ,7.6,3.79,37.9
18,14.10.2020 ,7.6,3.79,37.9
19,14.04.2021 ,7.6,103.79,1037.9
