<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170103,000000,97.9500000,98.6499000,97.6999000,98.6499000,429
20170104,000000,98.7490000,98.7499000,98.6997000,98.6997000,100
20170105,000000,98.7997000,98.9498000,98.7997000,98.9498000,302
20170106,000000,98.9497000,98.9999000,98.9497000,98.9999000,10
20170109,000000,99.0499000,99.0500000,98.2516000,98.5003000,946
20170110,000000,98.7998000,99.0499000,98.6511000,98.7015000,157838
20170111,000000,99.0496000,99.1000000,98.6505000,98.6505000,60553
20170112,000000,98.6003000,99.3979000,98.6003000,99.3500000,455804
20170113,000000,99.0124000,99.5000000,99.0104000,99.3011000,14065
20170116,000000,99.6985000,99.6985000,99.0505000,99.1903000,9444
20170117,000000,99.3550000,99.4500000,99.0481000,99.2512000,230520
20170118,000000,99.3001000,99.5500000,99.0999000,99.3000000,119436
20170119,000000,99.3000000,99.4999000,99.1901000,99.2510000,7118
20170120,000000,99.3500000,99.4496000,99.0001000,99.2502000,122563
20170123,000000,99.1501000,99.1501000,99.1204000,99.1206000,119
20170124,000000,99.1005000,99.3000000,98.9842000,98.9844000,502831
20170125,000000,98.9501000,99.3990000,98.3500000,98.6152000,1870
20170126,000000,98.4700000,98.7680000,98.0501000,98.2001000,114313
20170127,000000,98.2201000,98.9500000,98.2001000,98.6002000,89840
20170130,000000,98.5001000,99.2996000,98.5000000,98.6002000,240
20170131,000000,98.5004000,98.9499000,98.5000000,98.5222000,26881
20170201,000000,98.8000000,99.0999000,98.7064000,98.7064000,502
20170202,000000,99.0996000,99.0996000,98.8107000,98.8500000,101749
20170203,000000,98.7017000,99.2500000,98.7001000,98.8004000,255510
20170206,000000,98.6681000,99.0001000,98.6628000,98.7803000,3051
20170207,000000,98.7504000,99.1990000,98.5004000,98.5004000,100397
20170208,000000,98.8984000,98.8989000,98.5008000,98.5022000,108
20170209,000000,98.6015000,98.9000000,98.6015000,98.8001000,191702
20170210,000000,98.8003000,98.8005000,98.6005000,98.6005000,667498
20170213,000000,98.6105000,98.9391000,98.6101000,98.6115000,553934
20170214,000000,98.4025000,98.8001000,98.4000000,98.6002000,410
20170215,000000,98.5006000,98.8991000,98.2000000,98.2501000,172610
20170216,000000,98.3001000,98.4972000,98.1523000,98.1523000,4086
20170217,000000,98.1544000,98.3798000,97.9501000,97.9502000,29951
20170220,000000,97.9501000,98.1100000,97.8002000,97.9001000,211189
20170221,000000,97.8000000,98.2500000,97.8000000,97.9001000,6113
20170222,000000,97.7804000,97.9990000,97.7801000,97.8101000,15892
20170224,000000,98.1975000,98.1975000,98.1975000,98.1975000,2
20170227,000000,97.7700000,98.1499000,97.7000000,97.8002000,406
20170228,000000,97.8004000,98.0946000,97.7001000,97.7001000,139592
20170301,000000,97.5102000,97.9162000,97.4000000,97.8000000,4145
20170302,000000,97.5601000,97.7800000,97.5001000,97.5002000,13222
20170303,000000,97.5000000,98.0000000,97.4098000,98.0000000,108155
20170306,000000,97.5035000,98.0500000,97.5035000,97.8613000,53213
20170307,000000,97.8601000,98.2300000,97.8122000,98.1000000,195010
20170309,000000,97.8103000,98.1696000,97.6904000,98.1000000,7706
20170310,000000,98.0001000,98.2899000,98.0000000,98.0708000,29515
20170313,000000,98.0002000,98.4500000,98.0000000,98.4500000,153482
20170314,000000,98.3203000,98.4400000,98.3000000,98.3002000,2478
20170315,000000,98.0004000,98.7500000,98.0003000,98.6002000,418768
20170316,000000,98.7500000,98.8001000,98.6610000,98.8000000,50408
20170317,000000,98.6104000,98.9500000,98.6101000,98.8500000,4094
20170320,000000,98.8999000,99.0499000,98.8115000,98.8500000,7264
20170321,000000,98.8501000,99.0900000,98.8500000,99.0489000,1324043
20170322,000000,98.8116000,99.1000000,98.8001000,98.8001000,10198
20170323,000000,98.8600000,99.1000000,98.8000000,98.8300000,4409
20170324,000000,98.6692000,99.0000000,98.6000000,98.8001000,22300
20170327,000000,98.7101000,99.0005000,98.5721000,98.5721000,12362
20170328,000000,98.9000000,98.9500000,98.8003000,98.8400000,138516
20170329,000000,99.1399000,99.1399000,98.7600000,98.9203000,10625
20170330,000000,98.9600000,99.3000000,98.9404000,99.2802000,61346
20170331,000000,99.1102000,99.4500000,98.8001000,99.0501000,47325
20170403,000000,98.9112000,99.5990000,98.9100000,99.0251000,15553
20170404,000000,98.8613000,99.1384000,98.8002000,98.8409000,9011
20170405,000000,99.2387000,99.3997000,98.8614000,99.0619000,54
20170406,000000,99.0601000,99.4500000,98.8902000,99.2501000,7629
20170407,000000,99.0102000,99.2500000,98.1968000,99.0115000,9806
20170410,000000,98.6003000,99.0989000,98.6000000,98.9002000,32652
20170411,000000,98.9999000,99.0500000,98.7503000,98.8001000,25596
20170412,000000,98.8236000,98.9000000,98.6000000,98.6501000,19967
20170413,000000,98.6000000,98.8500000,98.6000000,98.7501000,4795
20170414,000000,98.6611000,98.9898000,98.6611000,98.8500000,2885
