<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170103,000000,98.2480000,98.2480000,98.0998000,98.0998000,3465
20170106,000000,98.1999000,98.2000000,98.1999000,98.2000000,131
20170109,000000,98.5997000,98.5998000,98.1001000,98.1002000,109
20170110,000000,98.4998000,98.7500000,98.2141000,98.7500000,323674
20170111,000000,98.8499000,98.8800000,98.2503000,98.2503000,385356
20170112,000000,98.8954000,99.1499000,98.8954000,99.0500000,784953
20170113,000000,99.0103000,99.2199000,99.0101000,99.0122000,20717
20170116,000000,99.0000000,99.1488000,98.9501000,99.0003000,102987
20170117,000000,99.1001000,99.1001000,98.6051000,99.0999000,780931
20170118,000000,99.1299000,99.1301000,98.7003000,98.9501000,1143532
20170119,000000,98.8000000,99.1498000,98.6500000,98.8510000,375406
20170120,000000,98.8100000,99.1490000,98.8100000,98.8100000,656251
20170123,000000,98.9500000,98.9500000,98.6506000,98.7203000,100117
20170124,000000,98.8000000,98.9489000,98.7412000,98.7412000,378
20170125,000000,98.7500000,98.7887000,98.2000000,98.3000000,367264
20170126,000000,98.1701000,98.4997000,97.6000000,97.9997000,20326
20170127,000000,97.7003000,98.6600000,97.7003000,98.4500000,1115494
20170130,000000,98.1505000,98.5489000,98.1505000,98.1604000,5
20170131,000000,98.3000000,98.4988000,98.1400000,98.3410000,80312
20170201,000000,98.0005000,98.4990000,98.0005000,98.3000000,249184
20170202,000000,98.4003000,98.7900000,98.4002000,98.5700000,117479
20170203,000000,98.2519000,98.8501000,98.2519000,98.6000000,175238
20170206,000000,98.6000000,98.6996000,98.2080000,98.5000000,19906
20170207,000000,98.4999000,98.5001000,98.3999000,98.4490000,15150
20170208,000000,98.1050000,98.2000000,98.0500000,98.2000000,1000271
20170209,000000,98.3500000,98.3997000,98.2500000,98.2500000,850052
20170210,000000,98.3497000,98.3500000,98.2500000,98.2500000,342484
20170213,000000,98.3487000,98.3990000,98.2503000,98.3100000,416340
20170214,000000,98.3999000,98.4000000,98.2503000,98.2503000,23051
